(Remote IP: 103.41.98.76, Remote port: 48470, Own port: 23, ConnectionDuration: 30.5440070629 seconds),
(Remote IP: 1.70.12.79, Remote port: 36961, Own port: 23, ConnectionDuration: 30.4602758884 seconds),
(Remote IP: 34.78.68.58, Remote port: 59644, Own port: 139, ConnectionDuration: 0.252915143967 seconds),
(Remote IP: 34.78.68.58, Remote port: 33878, Own port: 139, ConnectionDuration: 0.79781794548 seconds),
(Remote IP: 189.90.33.83, Remote port: 33210, Own port: 23, ConnectionDuration: 30.7712001801 seconds),
(Remote IP: 190.211.255.106, Remote port: 46060, Own port: 23, ConnectionDuration: 119.573265791 seconds),
(Remote IP: 190.211.255.106, Remote port: 46060, Own port: 23, ConnectionDuration: 119.573839903 seconds),
(Remote IP: 146.19.24.28, Remote port: 38228, Own port: 80, ConnectionDuration: 9.99959993362 seconds),
(Remote IP: 123.9.205.36, Remote port: 35291, Own port: 23, ConnectionDuration: 10.2465059757 seconds),
(Remote IP: 39.174.173.55, Remote port: 46126, Own port: 23, ConnectionDuration: 11.1459290981 seconds),
(Remote IP: 223.13.69.225, Remote port: 56322, Own port: 23, ConnectionDuration: 31.928828001 seconds),
(Remote IP: 87.1.169.7, Remote port: 65505, Own port: 23, ConnectionDuration: 30.1547648907 seconds),
(Remote IP: 223.13.69.225, Remote port: 60012, Own port: 23, ConnectionDuration: 31.8441588879 seconds),
(Remote IP: 159.203.208.11, Remote port: 56932, Own port: 445, ConnectionDuration: 0.027468919754 seconds),
(Remote IP: 5.160.136.182, Remote port: 50025, Own port: 445, ConnectionDuration: 30.5255639553 seconds),
(Remote IP: 5.160.136.182, Remote port: 50025, Own port: 445, ConnectionDuration: 30.5262520313 seconds),
(Remote IP: 5.160.136.182, Remote port: 50097, Own port: 445, ConnectionDuration: 30.4966700077 seconds),
(Remote IP: 5.160.136.182, Remote port: 50097, Own port: 445, ConnectionDuration: 30.4971079826 seconds),
(Remote IP: 61.187.92.27, Remote port: 56296, Own port: 23, ConnectionDuration: 31.1420907974 seconds),
(Remote IP: 61.187.92.27, Remote port: 56764, Own port: 23, ConnectionDuration: 31.7447831631 seconds),
(Remote IP: 119.194.90.138, Remote port: 44265, Own port: 23, ConnectionDuration: 30.7894060612 seconds),
(Remote IP: 198.235.24.146, Remote port: 54378, Own port: 23, ConnectionDuration: 30.9628829956 seconds),
(Remote IP: 198.235.24.146, Remote port: 54378, Own port: 23, ConnectionDuration: 30.9633970261 seconds),
(Remote IP: 213.65.139.147, Remote port: 37702, Own port: 23, ConnectionDuration: 11.3605210781 seconds),
(Remote IP: 80.75.212.75, Remote port: 41410, Own port: 9999, ConnectionDuration: 0.139868021011 seconds),
(Remote IP: 190.211.255.106, Remote port: 51244, Own port: 23, ConnectionDuration: 120.892725945 seconds),
(Remote IP: 190.211.255.106, Remote port: 51244, Own port: 23, ConnectionDuration: 120.893311024 seconds),
(Remote IP: 152.230.195.30, Remote port: 45382, Own port: 23, ConnectionDuration: 30.7482988834 seconds),
(Remote IP: 125.26.172.143, Remote port: 38178, Own port: 23, ConnectionDuration: 10.8789708614 seconds),
(Remote IP: 178.93.7.234, Remote port: 34221, Own port: 23, ConnectionDuration: 30.0789370537 seconds),
(Remote IP: 141.98.11.179, Remote port: 45260, Own port: 80, ConnectionDuration: 0.227260112762 seconds),
(Remote IP: 181.7.198.117, Remote port: 48380, Own port: 23, ConnectionDuration: 10.6850948334 seconds),
(Remote IP: 219.91.93.143, Remote port: 44986, Own port: 23, ConnectionDuration: 31.1093988419 seconds),
(Remote IP: 103.196.235.142, Remote port: 33308, Own port: 23, ConnectionDuration: 29.6377699375 seconds),
(Remote IP: 85.60.182.243, Remote port: 41250, Own port: 23, ConnectionDuration: 11.2747938633 seconds),
(Remote IP: 45.227.254.8, Remote port: 45225, Own port: 3389, ConnectionDuration: 0.00100803375244 seconds),
(Remote IP: 185.224.128.43, Remote port: 55530, Own port: 80, ConnectionDuration: 9.99910306931 seconds),
(Remote IP: 64.62.197.137, Remote port: 60290, Own port: 3389, ConnectionDuration: 0.105134010315 seconds),
(Remote IP: 64.62.197.137, Remote port: 64948, Own port: 3389, ConnectionDuration: 9.05984997749 seconds),
(Remote IP: 167.94.146.59, Remote port: 47494, Own port: 2380, ConnectionDuration: 0.160065174103 seconds),
(Remote IP: 167.94.146.59, Remote port: 47494, Own port: 2380, ConnectionDuration: 0.161934137344 seconds),
(Remote IP: 167.94.146.59, Remote port: 47510, Own port: 2380, ConnectionDuration: 3.16940999031 seconds),
(Remote IP: 167.94.146.59, Remote port: 47510, Own port: 2380, ConnectionDuration: 3.17004799843 seconds),
(Remote IP: 103.96.239.210, Remote port: 46621, Own port: 23, ConnectionDuration: 30.3796179295 seconds),
(Remote IP: 81.213.30.50, Remote port: 4027, Own port: 23, ConnectionDuration: 10.3593711853 seconds),
(Remote IP: 124.154.108.107, Remote port: 53918, Own port: 23, ConnectionDuration: 30.8078999519 seconds),
(Remote IP: 80.94.92.60, Remote port: 49432, Own port: 443, ConnectionDuration: 0.287917137146 seconds),
(Remote IP: 178.34.182.186, Remote port: 56594, Own port: 80, ConnectionDuration: 0.189878940582 seconds),
(Remote IP: 111.89.93.69, Remote port: 40932, Own port: 23, ConnectionDuration: 12.5820760727 seconds),
(Remote IP: 180.149.125.169, Remote port: 13201, Own port: 2103, ConnectionDuration: 9.80371594429 seconds),
(Remote IP: 205.210.31.88, Remote port: 52389, Own port: 21, ConnectionDuration: 0.559375047684 seconds),
(Remote IP: 84.54.51.41, Remote port: 33116, Own port: 80, ConnectionDuration: 14.8929600716 seconds),
(Remote IP: 31.203.196.58, Remote port: 46186, Own port: 23, ConnectionDuration: 10.9259340763 seconds),
(Remote IP: 103.203.57.1, Remote port: 58512, Own port: 80, ConnectionDuration: 0.0514049530029 seconds),
(Remote IP: 167.94.145.98, Remote port: 48112, Own port: 135, ConnectionDuration: 0.163038015366 seconds),
(Remote IP: 167.94.145.98, Remote port: 48112, Own port: 135, ConnectionDuration: 0.163844108582 seconds),
(Remote IP: 167.94.145.98, Remote port: 48176, Own port: 135, ConnectionDuration: 3.00172805786 seconds),
(Remote IP: 167.94.145.98, Remote port: 48176, Own port: 135, ConnectionDuration: 3.00254511833 seconds),
(Remote IP: 167.94.145.98, Remote port: 59176, Own port: 135, ConnectionDuration: 0.164443969727 seconds),
(Remote IP: 167.94.145.98, Remote port: 59176, Own port: 135, ConnectionDuration: 0.165922880173 seconds),
(Remote IP: 167.94.145.98, Remote port: 59210, Own port: 135, ConnectionDuration: 3.24499201775 seconds),
